,,,,,,
40,Delaware,Aldan Boro Police Dept,44,36,8,82%
,Delaware,Aston Township Police Dept,153,140,13,92%
,Delaware,Bethel Township Police Dept,18,10,8,56%
,Delaware,Brookhaven Boro Police Dept,96,69,27,72%
,Delaware,Chester City Police Dept,834,678,156,81%
,Delaware,Chester Housing Dept Police Dept,2,2,0,100%
,Delaware,Chester Township Police Dept,132,60,72,45%
,Delaware,"Cheyney, University PD",17,7,10,41%
,Delaware,Clifton Hgts Police Dept,111,101,10,91%
,Delaware,Collingdale Police Dept,139,82,57,59%
,Delaware,Colwyn Boro Police Dept,11,5,6,45%
,Delaware,Darby Boro Police Dept,490,458,32,93%
,Delaware,Darby Township Police Dept,141,98,43,70%
,Delaware,Delaware County Park Police Dept,43,21,22,49%
,Delaware,"Delaware County, Cid",213,175,38,82%
,Delaware,"Dept Corrections, Central",2,2,0,100%
,Delaware,East Lansdowne Boro Police Dept,37,19,18,51%
,Delaware,Eddystone Police Dept,238,227,11,95%
,Delaware,Folcroft Boro Police Dept,100,80,20,80%
,Delaware,Glenolden Boro Police Dept,112,95,17,85%
,Delaware,Greencastle Police Dept,1,1,0,100%
,Delaware,Haverford Township Police Dept,366,341,25,93%
,Delaware,Lansdowne Boro Police Dept,91,68,23,75%
,Delaware,Lower Chichester Township Police Dept,87,56,31,64%
,Delaware,Marcus Hook Boro Police Dept,133,120,13,90%
,Delaware,Marple Township Police Dept,229,177,52,77%
,Delaware,Media Boro Police Dept,118,90,28,76%
,Delaware,Millbourne Boro Police Dept,13,12,1,92%
,Delaware,Morton Police Dept,92,83,9,90%
,Delaware,Nether Providence Police Dept,102,75,27,74%
,Delaware,Newtown Township Police Dept,98,74,24,76%
,Delaware,Norwood Boro Police Dept,55,31,24,56%
,Delaware,Parkside Boro Police Dept,21,15,6,71%
,Delaware,Prospect Park Police Dept,74,59,15,80%
,Delaware,Radnor Township Police Dept,265,209,56,79%
,Delaware,Ridley Park Police Dept,42,32,10,76%
,Delaware,Ridley Township Police Dept,341,295,46,87%
,Delaware,Sharon Hill Boro Police Dept,89,73,16,82%
,Delaware,Springfield Police Dept,323,290,33,90%
