ID,county,PD,TP,P,NP,rate
28,Lehigh,Alburtis Boro Pd Police Dept,11,11,0,100%
28,Lehigh,Allentown Police Dept,2904,2785,119,96%
28,Lehigh,Bethlehem City Police Dept,324,311,13,96%
28,Lehigh,Catasauqua Police Dept,52,46,6,88%
28,Lehigh,Coopersburg Police Dept,32,29,3,91%
28,Lehigh,Coplay Borough Police Dept.,16,15,1,94%
28,Lehigh,Emmaus Boro Police Dept,78,73,5,94%
28,Lehigh,Fountain Hill Police Dept,78,74,4,95%
28,Lehigh,Lehigh County District Attorney,8,8,0,100%
28,Lehigh,LEHIGH COUNTY JAIL,27,27,0,100%
28,Lehigh,"Lehigh County, Detectives",214,197,17,92%
28,Lehigh,Lower Milford Township Police Dept,8,7,1,88%
28,Lehigh,Macungie Boro Police Dept,26,25,1,96%
28,Lehigh,Salisbury Township Police Dept,98,92,6,94%
28,Lehigh,Slatington Police Dept,156,142,14,91%
28,Lehigh,South Whitehall Township Police Dept,387,369,18,95%
28,Lehigh,Upper Macungie Township Police Dept,215,199,16,93%
28,Lehigh,Upper Saucon Township Police Dept,68,61,7,90%
28,Lehigh,Whitehall Township Police Dept,549,522,27,95%
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
,0,0,0,0,0,
