ID,county,PD,TP,P,NP,rate
11,Somerset,Berlin Boro Police Dept,21,18,3,86%
11,Somerset,Boswell Boro Police Dept,5,5,0,100%
11,Somerset,Conemaugh Township Police Dept,62,47,15,76%
11,Somerset,Confluence Boro Police Dept,7,7,0,100%
11,Somerset,Hooversville Boro Police Dept,10,8,2,80%
11,Somerset,Jennerstown Boro Police Dept,13,11,2,85%
11,Somerset,Meyersdale Boro Police Dept,16,15,1,94%
11,Somerset,Paint Township Police Dept,5,5,0,100%
11,Somerset,Rockwood Boro Police Dept,13,11,2,85%
11,Somerset,Shade Township Police Dept,84,53,31,63%
11,Somerset,Somerset Boro Police Dept,87,58,29,67%
11,Somerset,Somerset County District Attorney,35,28,7,80%
11,Somerset,"Somerset County, Detectives",6,5,1,83%
11,Somerset,Summit Township Police Dept,4,3,1,75%
11,Somerset,Windber Boro Police Dept,96,89,7,93%
