ID,county,PD,TP,P,NP,rate
1,Tioga,Blossburg Boro Police Dept,34,23,11,68%
1,Tioga,Elkland Boro Police Dept,19,10,9,53%
1,Tioga,Gaines Township Police Dept,3,2,1,67%
1,Tioga,Lawrence Township Police Dept,9,0,9,0%
1,Tioga,Lawrenceville Boro Police Dept,9,0,9,0%
1,Tioga,Mansfield Boro Police Dept,42,25,17,60%
1,Tioga,"Mansfield, University PD",8,8,0,100%
1,Tioga,Osceola Township Police Dept,4,1,3,25%
1,Tioga,Tioga Boro Police Dept,4,1,3,25%
1,Tioga,"Tioga County, Detectives",4,3,1,75%
1,Tioga,Wellsboro Boro Police Dept,127,118,9,93%
1,Tioga,Westfield Boro Police Dept,37,18,19,49%
